epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,5762.01,0.89374,1.00677,1.01936,0.94729,0.98152,0.98971,0.6593,1.28143,0.70331,1.09439,0.00028715,0.00028715,0.00028715
88,5827.64,0.90914,0.99979,1.02827,0.94015,0.96414,0.98596,0.6499,1.30781,0.71962,1.09822,0.000284675,0.000284675,0.000284675
89,5893.27,0.84429,0.98222,1.0051,0.94015,0.96414,0.98596,0.6499,1.30781,0.71962,1.09822,0.0002822,0.0002822,0.0002822
90,5958.91,0.85582,0.87024,0.9966,0.94448,0.94646,0.98407,0.64702,1.31037,0.72027,1.09584,0.000279725,0.000279725,0.000279725
91,6024.45,0.88673,0.95792,1.02821,0.91449,0.977,0.9838,0.668,1.22645,0.70548,1.06266,0.00027725,0.00027725,0.00027725
92,6089.68,0.87359,0.93834,1.03289,0.91808,0.97642,0.98526,0.68642,1.15619,0.68571,1.03849,0.000274775,0.000274775,0.000274775
93,6154.74,0.85205,0.86707,1.04166,0.95543,0.96514,0.9857,0.68674,1.14207,0.66699,1.03655,0.0002723,0.0002723,0.0002723
94,6220.05,0.91956,0.86336,1.04763,0.96417,0.96518,0.98644,0.67061,1.2185,0.67094,1.06802,0.000269825,0.000269825,0.000269825
95,6285.48,0.9103,0.87885,1.04461,0.96417,0.96518,0.98644,0.67061,1.2185,0.67094,1.06802,0.00026735,0.00026735,0.00026735
96,6350.79,0.86218,0.88426,1.00099,0.96775,0.96002,0.98853,0.65359,1.2916,0.68322,1.09793,0.000264875,0.000264875,0.000264875
97,6416.22,0.86597,0.85873,1.0121,0.95582,0.96335,0.9898,0.64091,1.34451,0.7007,1.11946,0.0002624,0.0002624,0.0002624
98,6481.69,0.89303,0.83185,1.01323,0.96181,0.97005,0.98942,0.65694,1.27911,0.69465,1.08664,0.000259925,0.000259925,0.000259925
99,6547.42,0.86745,0.80994,1.00213,0.96493,0.97586,0.98933,0.67674,1.19147,0.67719,1.0519,0.00025745,0.00025745,0.00025745
100,6613.17,0.85922,0.8773,1.03527,0.96493,0.97586,0.98933,0.67674,1.19147,0.67719,1.0519,0.000254975,0.000254975,0.000254975
101,6678.61,0.82802,0.82874,0.97841,0.97321,0.97899,0.98987,0.68749,1.15797,0.65723,1.04363,0.0002525,0.0002525,0.0002525
102,6744.01,0.87484,0.76599,1.01391,0.98168,0.97325,0.99005,0.69492,1.15033,0.64216,1.04401,0.000250025,0.000250025,0.000250025
103,6809.04,0.83126,0.81021,0.99659,0.96848,0.98289,0.9898,0.69942,1.1395,0.63584,1.03998,0.00024755,0.00024755,0.00024755
104,6874.2,0.83587,0.82727,1.00001,0.9621,0.98818,0.98982,0.70782,1.11356,0.62752,1.028,0.000245075,0.000245075,0.000245075
105,6938.9,0.84875,0.85786,1.02981,0.9621,0.98818,0.98982,0.70782,1.11356,0.62752,1.028,0.0002426,0.0002426,0.0002426
106,7003.78,0.80534,0.76977,1.01096,0.96214,0.98351,0.99075,0.69854,1.15813,0.63832,1.04612,0.000240125,0.000240125,0.000240125
107,7068.78,0.82354,0.82888,0.99406,0.97107,0.97702,0.99156,0.66691,1.26419,0.66627,1.09324,0.00023765,0.00023765,0.00023765
108,7133.7,0.78135,0.8211,0.98487,0.97753,0.97153,0.99178,0.64151,1.37672,0.68251,1.14934,0.000235175,0.000235175,0.000235175
109,7199.31,0.85144,0.85864,1.00314,0.97266,0.99096,0.99206,0.62339,1.44276,0.69168,1.18216,0.0002327,0.0002327,0.0002327
110,7264.16,0.89129,0.82479,1.04993,0.96763,0.99154,0.99187,0.63571,1.39366,0.68916,1.15427,0.000230225,0.000230225,0.000230225
111,7329.19,0.87219,0.85252,1.00582,0.96763,0.99154,0.99187,0.63571,1.39366,0.68916,1.15427,0.00022775,0.00022775,0.00022775
112,7394.6,0.88764,0.76305,0.99818,0.97126,0.99206,0.99246,0.65826,1.30419,0.66857,1.10739,0.000225275,0.000225275,0.000225275
113,7459.71,0.87784,0.86483,1.03924,0.97067,0.99117,0.99294,0.68609,1.19046,0.63508,1.05403,0.0002228,0.0002228,0.0002228
114,7524.88,0.80196,0.77114,0.9651,0.98547,0.97811,0.99354,0.71225,1.10395,0.6072,1.0177,0.000220325,0.000220325,0.000220325
115,7590.04,0.82663,0.77821,1.00335,0.98141,0.97966,0.99305,0.71332,1.09954,0.59859,1.01673,0.00021785,0.00021785,0.00021785
116,7656.01,0.83299,0.81272,0.99412,0.98141,0.97966,0.99305,0.71332,1.09954,0.59859,1.01673,0.000215375,0.000215375,0.000215375
117,7721.59,0.88481,0.8351,1.02783,0.98032,0.97886,0.99245,0.7086,1.11479,0.59729,1.02167,0.0002129,0.0002129,0.0002129
118,7787.04,0.81695,0.74438,1.02617,0.97547,0.98342,0.99245,0.69378,1.18502,0.60833,1.05088,0.000210425,0.000210425,0.000210425
119,7851.75,0.79921,0.86621,0.97417,0.97408,0.98696,0.99305,0.65044,1.32279,0.6353,1.11097,0.00020795,0.00020795,0.00020795
120,7917.64,0.84065,0.76418,0.97889,0.98261,0.98516,0.99348,0.62869,1.42456,0.64971,1.15876,0.000205475,0.000205475,0.000205475
121,7982.75,0.77864,0.82864,0.96519,0.98261,0.98516,0.99348,0.62869,1.42456,0.64971,1.15876,0.000203,0.000203,0.000203
122,8047.48,0.74155,0.7683,0.96494,0.98607,0.99147,0.9939,0.62187,1.45757,0.65006,1.17281,0.000200525,0.000200525,0.000200525
123,8112.54,0.8031,0.75739,0.98748,0.98827,0.987,0.99322,0.62745,1.44357,0.64917,1.16266,0.00019805,0.00019805,0.00019805
124,8177.74,0.87376,0.83481,1.00463,0.9796,0.98339,0.99267,0.64186,1.35199,0.63383,1.11619,0.000195575,0.000195575,0.000195575
125,8242.6,0.81495,0.78309,1.01241,0.97399,0.99254,0.99281,0.66649,1.26849,0.61541,1.07757,0.0001931,0.0001931,0.0001931
